LOG TYPE,MESSAGE,LOG
Error,Error while reading data from ADDRESS,Error: Protocol error (Page.navigate): Cannot navigate to invalid URL
Error,Error while reading data from https://alumni-resources.georgetown.edu/s/1686/alumni/index.aspx?sid=1686&gid=4&pgid=94&cid=256&mid=210608,"TimeoutError: waiting for XPath ""/html/body/form/div[3]/div/div[2]/div/div[2]/section/div[2]/div/div/div[3]/div[2]/div/div[4]/div[2]/div/div/div[1]/div[2]"" failed: timeout 30000ms exceeded"
Error,Error while reading data from https://alumni-resources.georgetown.edu/s/1686/alumni/index.aspx?sid=1686&gid=4&pgid=94&cid=256&mid=309088,"TimeoutError: waiting for XPath ""/html/body/form/div[3]/div/div[2]/div/div[2]/section/div[2]/div/div/div[3]/div[2]/div/div[4]/div[2]/div/div/div[1]/div[2]"" failed: timeout 30000ms exceeded"
Error,Error while reading data from https://alumni-resources.georgetown.edu/s/1686/alumni/index.aspx?sid=1686&gid=4&pgid=94&cid=256&mid=209250,"TimeoutError: waiting for XPath ""/html/body/form/div[3]/div/div[2]/div/div[2]/section/div[2]/div/div/div[3]/div[2]/div/div[4]/div[2]/div/div/div[1]/div[2]"" failed: timeout 30000ms exceeded"
Error,Error while reading data from https://alumni-resources.georgetown.edu/s/1686/alumni/index.aspx?sid=1686&gid=4&pgid=94&cid=256&mid=62526,"TimeoutError: waiting for XPath ""/html/body/form/div[3]/div/div[2]/div/div[2]/section/div[2]/div/div/div[3]/div[2]/div/div[4]/div[2]/div/div/div[1]/div[2]"" failed: timeout 30000ms exceeded"
Error,Error while reading data from https://alumni-resources.georgetown.edu/s/1686/alumni/index.aspx?sid=1686&gid=4&pgid=94&cid=256&mid=52091,"TimeoutError: waiting for XPath ""/html/body/form/div[3]/div/div[2]/div/div[2]/section/div[2]/div/div/div[3]/div[2]/div/div[4]/div[2]/div/div/div[1]/div[2]"" failed: timeout 30000ms exceeded"
Error,Error while reading data from https://alumni-resources.georgetown.edu/s/1686/alumni/index.aspx?sid=1686&gid=4&pgid=94&cid=256&mid=299671,"TimeoutError: waiting for XPath ""/html/body/form/div[3]/div/div[2]/div/div[2]/section/div[2]/div/div/div[3]/div[2]/div/div[4]/div[2]/div/div/div[1]/div[2]"" failed: timeout 30000ms exceeded"
Error,Error while reading data from https://alumni-resources.georgetown.edu/s/1686/alumni/index.aspx?sid=1686&gid=4&pgid=94&cid=256&mid=157064,"TimeoutError: waiting for XPath ""/html/body/form/div[3]/div/div[2]/div/div[2]/section/div[2]/div/div/div[3]/div[2]/div/div[4]/div[2]/div/div/div[1]/div[2]"" failed: timeout 30000ms exceeded"
Error,Error while reading data from https://alumni-resources.georgetown.edu/s/1686/alumni/index.aspx?sid=1686&gid=4&pgid=94&cid=256&mid=81883,"TimeoutError: waiting for XPath ""/html/body/form/div[3]/div/div[2]/div/div[2]/section/div[2]/div/div/div[3]/div[2]/div/div[4]/div[2]/div/div/div[1]/div[2]"" failed: timeout 30000ms exceeded"
Error,Error while reading data from https://alumni-resources.georgetown.edu/s/1686/alumni/index.aspx?sid=1686&gid=4&pgid=94&cid=256&mid=31887,"TimeoutError: waiting for XPath ""/html/body/form/div[3]/div/div[2]/div/div[2]/section/div[2]/div/div/div[3]/div[2]/div/div[4]/div[2]/div/div/div[1]/div[2]"" failed: timeout 30000ms exceeded"
