STATE,LAST NAME INITIAL LETTER,COUNT,VALID
AL,ALL,515,TRUE
AK,ALL,225,TRUE
AB,ALL,0,TRUE
AS,ALL,0,TRUE
AZ,a,54,TRUE
AZ,b,136,TRUE
AZ,c,110,TRUE
AZ,d,75,TRUE
AZ,e,20,TRUE
AZ,f,55,TRUE
AZ,g,0,TRUE
AZ,h,78,TRUE
AZ,i,7,TRUE
AZ,j,33,TRUE
AZ,k,73,TRUE
AZ,l,78,TRUE
AZ,m,144,TRUE
AZ,n,26,TRUE
AZ,o,26,TRUE
AZ,p,70,TRUE
AZ,q,0,TRUE
AZ,r,65,TRUE
AZ,s,157,TRUE
AZ,t,47,TRUE
AZ,u,8,TRUE
AZ,v,32,TRUE
AZ,w,92,TRUE
AZ,x,0,TRUE
AZ,y,10,TRUE
AZ,z,15,TRUE
AR,ALL,230,TRUE
AP,ALL,0,TRUE
AA,ALL,0,TRUE
AL,ALL,515,TRUE
BC,ALL,0,TRUE
CA,a,618,TRUE
CA,b,1000,FALSE
CA,c,1000,FALSE
CA,d,855,TRUE
CA,e,0,TRUE
CA,f,585,TRUE
CA,g,886,TRUE
CA,h,1000,FALSE
CA,i,85,TRUE
CA,j,347,TRUE
CA,k,879,TRUE
CA,l,919,TRUE
CA,m,1000,FALSE
CA,n,0,TRUE
CA,o,319,TRUE
CA,p,787,TRUE
CA,q,46,TRUE
CA,r,847,TRUE
CA,s,0,TRUE
CA,t,595,TRUE
CA,u,0,TRUE
CA,v,240,TRUE
CA,w,833,TRUE
CA,x,14,TRUE
CA,y,0,TRUE
CA,z,165,TRUE
CZ,ALL,0,TRUE
CO,a,97,TRUE
CO,b,232,TRUE
CO,c,171,TRUE
CO,d,101,TRUE
CO,e,36,TRUE
CO,f,75,TRUE
CO,g,109,TRUE
CO,h,178,TRUE
CO,i,10,TRUE
CO,j,48,TRUE
CO,k,107,TRUE
CO,l,120,TRUE
CO,m,252,TRUE
CO,n,36,TRUE
CO,o,54,TRUE
CO,p,118,TRUE
CO,q,4,TRUE
CO,r,114,TRUE
CO,s,229,TRUE
CO,t,66,TRUE
CO,u,7,TRUE
CO,v,36,TRUE
CO,w,125,TRUE
CO,x,3,TRUE
CO,y,9,TRUE
CO,z,20,TRUE
CT,ALL,0,TRUE
DE,ALL,707,TRUE
DC,a,767,TRUE
DC,b,0,TRUE
DC,c,1000,FALSE
DC,d,948,TRUE
DC,e,347,TRUE
DC,f,707,TRUE
DC,g,940,TRUE
DC,h,1000,FALSE
DC,i,113,TRUE
DC,j,439,TRUE
DC,k,947,TRUE
DC,l,0,TRUE
DC,m,1000,FALSE
DC,n,351,TRUE
DC,o,358,TRUE
DC,p,835,TRUE
DC,q,0,TRUE
DC,r,835,TRUE
DC,s,1000,FALSE
DC,t,642,TRUE
DC,u,65,TRUE
DC,v,293,TRUE
DC,w,844,TRUE
DC,x,19,TRUE
DC,y,173,TRUE
DC,z,203,TRUE
FM,ALL,0,TRUE
FL,a,317,TRUE
FL,b,636,TRUE
FL,c,606,TRUE
FL,d,436,TRUE
FL,e,114,TRUE
FL,f,347,TRUE
FL,g,468,TRUE
FL,h,419,TRUE
FL,i,44,TRUE
FL,j,135,TRUE
FL,k,353,TRUE
FL,l,411,TRUE
FL,m,812,TRUE
FL,n,0,TRUE
FL,o,143,TRUE
FL,p,405,TRUE
FL,q,0,TRUE
FL,r,391,TRUE
FL,s,834,TRUE
FL,t,246,TRUE
FL,u,27,TRUE
FL,v,139,TRUE
FL,w,307,TRUE
FL,x,2,TRUE
FL,y,24,TRUE
FL,z,60,TRUE
GA,a,79,TRUE
GA,b,230,TRUE
GA,c,189,TRUE
GA,d,127,TRUE
GA,e,53,TRUE
GA,f,107,TRUE
GA,g,0,TRUE
GA,h,162,TRUE
GA,i,14,TRUE
GA,j,69,TRUE
GA,k,0,TRUE
GA,l,124,TRUE
GA,m,254,TRUE
GA,n,44,TRUE
GA,o,49,TRUE
GA,p,122,TRUE
GA,q,9,TRUE
GA,r,123,TRUE
GA,s,264,TRUE
GA,t,93,TRUE
GA,u,2,TRUE
GA,v,31,TRUE
GA,w,141,TRUE
GA,x,1,TRUE
GA,y,25,TRUE
GA,z,17,TRUE
GU,ALL,24,TRUE
HI,ALL,661,TRUE
ID,ALL,231,TRUE
IL,a,126,TRUE
IL,b,357,TRUE
IL,c,344,TRUE
IL,d,232,TRUE
IL,e,59,TRUE
IL,f,186,TRUE
IL,g,248,TRUE
IL,h,341,TRUE
IL,i,15,TRUE
IL,j,0,TRUE
IL,k,264,TRUE
IL,l,210,TRUE
IL,m,450,TRUE
IL,n,0,TRUE
IL,o,103,TRUE
IL,p,0,TRUE
IL,q,8,TRUE
IL,r,243,TRUE
IL,s,448,TRUE
IL,t,0,TRUE
